Stop,Boarders_MCRbound,Alighters_MCRbound,Boarders_BuryBound,Alighters_BuryBound,Boarders_all,Alighters_all,Total_Passengers,Month,Time,Date,Anomaly
Bury Interchange,1686,0,0,718,1686,718,2404,April_16,16:00-18:59,Saturday,0
Radcliffe,214,221,121,353,335,574,909,April_16,16:00-18:59,Saturday,0
Whitefield,262,212,80,344,342,556,898,April_16,16:00-18:59,Saturday,0
Besses O'th'Barn,89,115,41,191,130,306,436,April_16,16:00-18:59,Saturday,0
Prestwich,179,166,121,300,300,466,766,April_16,16:00-18:59,Saturday,0
Heaton Park,211,110,103,180,314,290,604,April_16,16:00-18:59,Saturday,0
Bowker Vale,58,78,30,213,88,291,379,April_16,16:00-18:59,Saturday,1
Crumpsall,109,89,75,216,184,305,489,April_16,16:00-18:59,Saturday,0
Abraham Moss,161,47,45,160,206,207,413,April_16,16:00-18:59,Saturday,0
Queens Road,65,44,28,55,93,99,192,April_16,16:00-18:59,Saturday,0
Bury Interchange,531,84,0,1005,531,1089,1620,April_16,19:00-end of service,Saturday,0
Radcliffe,167,139,74,559,241,698,939,April_16,19:00-end of service,Saturday,0
Whitefield,171,104,117,371,288,475,763,April_16,19:00-end of service,Saturday,0
Besses O'th'Barn,82,52,62,184,144,236,380,April_16,19:00-end of service,Saturday,0
Prestwich,140,129,162,275,302,404,706,April_16,19:00-end of service,Saturday,0
Heaton Park,77,51,58,188,135,239,374,April_16,19:00-end of service,Saturday,0
Bowker Vale,75,48,33,233,108,281,389,April_16,19:00-end of service,Saturday,0
Crumpsall,70,40,44,232,114,272,386,April_16,19:00-end of service,Saturday,0
Abraham Moss,67,48,16,134,83,182,265,April_16,19:00-end of service,Saturday,0
Queens Road,35,34,24,58,59,92,151,April_16,19:00-end of service,Saturday,0
Bury Interchange,11,0,0,18,11,18,29,May_16,Before  07:30,Sunday,0
Radcliffe,9,0,4,3,13,3,16,May_16,Before  07:30,Sunday,1
Whitefield,9,1,1,2,10,3,13,May_16,Before  07:30,Sunday,1
Besses O'th'Barn,11,1,0,3,11,4,15,May_16,Before  07:30,Sunday,0
Prestwich,5,0,1,1,6,1,7,May_16,Before  07:30,Sunday,1
Heaton Park,3,0,1,1,4,1,5,May_16,Before  07:30,Sunday,1
Bowker Vale,10,0,0,3,10,3,13,May_16,Before  07:30,Sunday,1
Crumpsall,12,4,1,3,13,7,20,May_16,Before  07:30,Sunday,0
Abraham Moss,5,1,2,6,7,7,14,May_16,Before  07:30,Sunday,0
Queens Road,2,0,2,3,4,3,7,May_16,Before  07:30,Sunday,0
Bury Interchange,73,0,0,95,73,95,168,May_16,AM Peak 07:30-09:30,Sunday,0
Radcliffe,49,2,28,11,77,13,90,May_16,AM Peak 07:30-09:30,Sunday,1
Whitefield,38,11,18,13,56,24,80,May_16,AM Peak 07:30-09:30,Sunday,0
Besses O'th'Barn,34,3,13,6,47,9,56,May_16,AM Peak 07:30-09:30,Sunday,1
Prestwich,31,11,9,13,40,24,64,May_16,AM Peak 07:30-09:30,Sunday,0
Heaton Park,13,5,8,9,21,14,35,May_16,AM Peak 07:30-09:30,Sunday,0
Bowker Vale,40,7,16,3,56,10,66,May_16,AM Peak 07:30-09:30,Sunday,1
Crumpsall,44,8,6,10,50,18,68,May_16,AM Peak 07:30-09:30,Sunday,0
Abraham Moss,18,5,4,24,22,29,51,May_16,AM Peak 07:30-09:30,Sunday,0
Queens Road,21,10,4,10,25,20,45,May_16,AM Peak 07:30-09:30,Sunday,0
Bury Interchange,747,0,0,891,747,891,1638,May_16,Off-peak 09:30-13:30,Sunday,0
Radcliffe,433,69,231,115,664,184,848,May_16,Off-peak 09:30-13:30,Sunday,1
Whitefield,307,78,160,99,467,177,644,May_16,Off-peak 09:30-13:30,Sunday,0
Besses O'th'Barn,191,53,84,44,275,97,372,May_16,Off-peak 09:30-13:30,Sunday,0
Prestwich,182,77,107,106,289,183,472,May_16,Off-peak 09:30-13:30,Sunday,0
Heaton Park,168,196,102,399,270,595,865,May_16,Off-peak 09:30-13:30,Sunday,0
Bowker Vale,224,48,71,67,295,115,410,May_16,Off-peak 09:30-13:30,Sunday,0
Crumpsall,156,43,35,58,191,101,292,May_16,Off-peak 09:30-13:30,Sunday,0
Abraham Moss,139,56,69,83,208,139,347,May_16,Off-peak 09:30-13:30,Sunday,0
Queens Road,55,28,54,37,109,65,174,May_16,Off-peak 09:30-13:30,Sunday,0
Bury Interchange,688,0,0,448,688,448,1136,May_16,13:30-15:59,Sunday,0
Radcliffe,257,112,121,181,378,293,671,May_16,13:30-15:59,Sunday,0
Whitefield,231,96,86,146,317,242,559,May_16,13:30-15:59,Sunday,0
Besses O'th'Barn,101,65,57,76,158,141,299,May_16,13:30-15:59,Sunday,0
Prestwich,219,83,64,163,283,246,529,May_16,13:30-15:59,Sunday,0
Heaton Park,315,189,208,309,523,498,1021,May_16,13:30-15:59,Sunday,0
Bowker Vale,93,42,28,67,121,109,230,May_16,13:30-15:59,Sunday,0
Crumpsall,161,36,60,50,221,86,307,May_16,13:30-15:59,Sunday,0
Abraham Moss,90,27,62,47,152,74,226,May_16,13:30-15:59,Sunday,0
Queens Road,43,23,32,55,75,78,153,May_16,13:30-15:59,Sunday,0
Bury Interchange,547,0,0,488,547,488,1035,May_16,16:00-18:59,Sunday,0
Radcliffe,136,76,42,220,178,296,474,May_16,16:00-18:59,Sunday,0
Whitefield,101,95,59,209,160,304,464,May_16,16:00-18:59,Sunday,0
Besses O'th'Barn,70,77,34,136,104,213,317,May_16,16:00-18:59,Sunday,0
Prestwich,90,64,58,170,148,234,382,May_16,16:00-18:59,Sunday,0
Heaton Park,394,106,173,192,567,298,865,May_16,16:00-18:59,Sunday,0
Bowker Vale,58,34,29,144,87,178,265,May_16,16:00-18:59,Sunday,0
Crumpsall,89,68,56,164,145,232,377,May_16,16:00-18:59,Sunday,0
Abraham Moss,42,56,49,160,91,216,307,May_16,16:00-18:59,Sunday,0
Queens Road,22,47,54,51,76,98,174,May_16,16:00-18:59,Sunday,0
Bury Interchange,249,0,0,527,249,527,776,May_16,19:00-end of service,Sunday,0
Radcliffe,54,60,66,252,120,312,432,May_16,19:00-end of service,Sunday,0
Whitefield,64,59,59,198,123,257,380,May_16,19:00-end of service,Sunday,0
Besses O'th'Barn,42,41,31,145,73,186,259,May_16,19:00-end of service,Sunday,0
Prestwich,59,34,62,166,121,200,321,May_16,19:00-end of service,Sunday,0
Heaton Park,126,46,84,105,210,151,361,May_16,19:00-end of service,Sunday,0
Bowker Vale,51,39,19,111,70,150,220,May_16,19:00-end of service,Sunday,0
Crumpsall,46,30,23,158,69,188,257,May_16,19:00-end of service,Sunday,0
Abraham Moss,37,51,26,83,63,134,197,May_16,19:00-end of service,Sunday,0
Queens Road,31,12,22,54,53,66,119,May_16,19:00-end of service,Sunday,0
